Measure #,End-Use,Measure Name,Program,Home Type,Income Type,Replacement Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4016,Cooling,"Refrigerant Charge Adjustment, Residential",HVAC Optimization,SF,LI,Retrofit,11.00,11.00,11.00,12.00,12.00,12.00,12.00,13.00,13.00,13.00,14.00,14.00,14.00,15.00,15.00,15.00,16.00,16.00,17.00,17.00,11.00,22.00,33.00,45.00,56.00,67.00,78.00,89.00,100.00,111.00,123.00,135.00,148.00,160.00,173.00,187.00,200.00,214.00,229.00,243.00
4103,Cooling,Window AC Turn-In & Recycle,Window AC Recycling,MF,All,Recycle,0.00,105.00,263.00,438.00,626.00,832.00,1091.00,1404.00,1769.00,2174.00,2601.00,3029.00,3434.00,3798.00,4111.00,4370.00,4577.00,4738.00,4860.00,4952.00,0.00,105.00,368.00,806.00,1432.00,2159.00,2987.00,3953.00,5097.00,6438.00,7948.00,9572.00,11237.00,12861.00,14372.00,15713.00,16856.00,17796.00,18544.00,19126.00
7064,Lighting,ENERGY STAR ceiling fan,Residential Lighting Efficiency Program,SF,All,ROB,9.00,20.00,50.00,84.00,119.00,205.00,316.00,428.00,516.00,573.00,597.00,586.00,556.00,523.00,487.00,401.00,291.00,179.00,90.00,33.00,9.00,29.00,79.00,163.00,282.00,487.00,803.00,1230.00,1745.00,2318.00,2914.00,3497.00,4046.00,4557.00,5026.00,5396.00,5640.00,5755.00,5768.00,5715.00
7026,Lighting,LED Outdoor Specialty Lamp - 10 watt avg.,Residential Lighting Efficiency Program,SF,NLI,ROB,13.00,32.00,54.00,77.00,119.00,179.00,259.00,347.00,440.00,533.00,612.00,654.00,656.00,620.00,549.00,435.00,321.00,219.00,136.00,73.00,13.00,46.00,100.00,177.00,295.00,474.00,733.00,1077.00,1512.00,2037.00,2637.00,3274.00,3903.00,4484.00,4981.00,5350.00,5592.00,5719.00,5756.00,5731.00
7016,Lighting,LED 7 W replacing 50 W MR16 - indoor,Residential Lighting Efficiency Program,SF,NLI,ROB,8.00,10.00,26.00,44.00,62.00,101.00,156.00,228.00,309.00,389.00,456.00,506.00,540.00,562.00,562.00,554.00,552.00,536.00,519.00,500.00,8.00,19.00,45.00,89.00,151.00,252.00,408.00,636.00,945.00,1333.00,1789.00,2296.00,2836.00,3399.00,3961.00,4514.00,5064.00,5596.00,6108.00,6599.00
7027,Lighting,LED Night Light,Efficient Product Marketplace,SF,NLI,ROB,46.00,115.00,191.00,273.00,471.00,697.00,888.00,1011.00,1031.00,963.00,886.00,804.00,607.00,381.00,191.00,67.00,0.00,0.00,0.00,0.00,46.00,161.00,352.00,626.00,1097.00,1793.00,2680.00,3689.00,4711.00,5655.00,6513.00,7277.00,7813.00,8090.00,8149.00,8065.00,7910.00,7765.00,7633.00,7512.00
7112,Lighting,LED Indoor Specialty Lamp - 10 watt avg.,Residential Lighting Efficiency Program,MF,NLI,ROB,8.00,17.00,29.00,41.00,62.00,91.00,132.00,183.00,242.00,307.00,361.00,406.00,438.00,459.00,462.00,448.00,408.00,357.00,297.00,233.00,8.00,25.00,54.00,95.00,156.00,248.00,379.00,562.00,804.00,1110.00,1469.00,1873.00,2307.00,2759.00,3212.00,3646.00,4035.00,4364.00,4625.00,4812.00
1006,Appliance,Refrigerator Recycling,Refrigerator Turn-In & Recycle,SF,LI,Recycle,18.00,21.00,53.00,88.00,126.00,168.00,220.00,284.00,357.00,439.00,525.00,612.00,693.00,767.00,830.00,883.00,924.00,957.00,982.00,1000.00,18.00,39.00,92.00,181.00,307.00,457.00,656.00,887.00,1156.00,1468.00,1826.00,2217.00,2627.00,3037.00,3428.00,3785.00,4098.00,4361.00,4576.00,4746.00
3025,Building Shell,Reflective Window Film (reduces SHGC to 0.39)_N/A_AC,Consumer Rebate Program - Future Offering,SF,NLI,Retrofit,875.00,847.00,820.00,795.00,770.00,746.00,723.00,699.00,675.00,652.00,628.00,604.00,580.00,558.00,317.00,0.00,0.00,0.00,0.00,0.00,875.00,1716.00,2525.00,3304.00,4053.00,4775.00,5464.00,6123.00,6740.00,7322.00,7742.00,8126.00,8478.00,8802.00,8883.00,8636.00,8378.00,8134.00,7905.00,7688.00
9071,Water Heating,Drain Water Heat Recovery,Residential New Construction - Future Offering,MF,All,Retrofit,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,51.00,52.00,53.00,55.00,34.00,69.00,105.00,142.00,180.00,219.00,258.00,299.00,340.00,383.00,427.00,471.00,517.00,565.00,613.00,662.00,713.00,765.00,818.00,873.00
